"RuleName"
"PSAlignAssignmentStatement"
"PSAvoidUsingCmdletAliases"
"PSAvoidAssignmentToAutomaticVariable"
"PSAvoidDefaultValueSwitchParameter"
"PSAvoidDefaultValueForMandatoryParameter"
"PSAvoidUsingEmptyCatchBlock"
"PSAvoidExclaimOperator"
"PSAvoidGlobalAliases"
"PSAvoidGlobalFunctions"
"PSAvoidGlobalVars"
"PSAvoidInvokingEmptyMembers"
"PSAvoidLongLines"
"PSAvoidMultipleTypeAttributes"
"PSAvoidNullOrEmptyHelpMessageAttribute"
"PSAvoidOverwritingBuiltInCmdlets"
"PSAvoidUsingPositionalParameters"
"PSReservedCmdletChar"
"PSReservedParams"
"PSAvoidSemicolonsAsLineTerminators"
"PSAvoidShouldContinueWithoutForce"
"PSAvoidTrailingWhitespace"
"PSAvoidUsingUsernameAndPasswordParams"
"PSAvoidUsingAllowUnencryptedAuthentication"
"PSAvoidUsingBrokenHashAlgorithms"
"PSAvoidUsingComputerNameHardcoded"
"PSAvoidUsingConvertToSecureStringWithPlainText"
"PSAvoidUsingDeprecatedManifestFields"
"PSAvoidUsingDoubleQuotesForConstantString"
"PSAvoidUsingInvokeExpression"
"PSAvoidUsingPlainTextForPassword"
"PSAvoidUsingWMICmdlet"
"PSAvoidUsingWriteHost"
"PSUseCompatibleCommands"
"PSUseCompatibleSyntax"
"PSUseCompatibleTypes"
"PSMisleadingBacktick"
"PSMissingModuleManifestField"
"PSPlaceCloseBrace"
"PSPlaceOpenBrace"
"PSPossibleIncorrectComparisonWithNull"
"PSPossibleIncorrectUsageOfAssignmentOperator"
"PSPossibleIncorrectUsageOfRedirectionOperator"
"PSProvideCommentHelp"
"PSUseApprovedVerbs"
"PSUseBOMForUnicodeEncodedFile"
"PSUseCmdletCorrectly"
"PSUseCompatibleCmdlets"
"PSUseConsistentIndentation"
"PSUseConsistentWhitespace"
"PSUseCorrectCasing"
"PSUseDeclaredVarsMoreThanAssignments"
"PSUseLiteralInitializerForHashtable"
"PSUseOutputTypeCorrectly"
"PSUseProcessBlockForPipelineCommand"
"PSUsePSCredentialType"
"PSShouldProcess"
"PSUseShouldProcessForStateChangingFunctions"
"PSUseSingularNouns"
"PSUseSupportsShouldProcess"
"PSUseToExportFieldsInManifest"
"PSUseUsingScopeModifierInNewRunspaces"
"PSUseUTF8EncodingForHelpFile"
